policy,episode,total_runtime,total_tasks_created,total_tasks_accepted,total_tasks_skipped,total_tasks_completed,total_reward,avg_queue_time,avg_load_imbalance,server_0_selection,server_1_selection,server_2_selection
DQN,84,0.12586593627929688,300,300,0,300,-418.91727,314.2766666666667,36.226555417515705,105.0,94.0,101.0
DQN,85,0.1436936855316162,300,300,0,300,-377.08707,324.58777777777783,23.008422139814606,105.0,94.0,101.0
DQN,86,0.1589069366455078,300,300,0,300,-425.96066,313.88888888888886,37.65442207970465,105.0,94.0,101.0
DQN,87,0.1520369052886963,300,300,0,300,-428.811,328.11999999999983,37.10507831028657,105.0,94.0,101.0
DQN,88,0.13237881660461426,300,300,0,300,-400.98523,336.90777777777777,27.802072305817006,105.0,94.0,101.0
DQN,89,0.12145519256591797,300,300,0,300,-493.9543,330.3033333333331,54.29774143756953,105.0,94.0,101.0
DQN,90,0.12770938873291016,300,300,0,300,-403.63153,338.72111111111093,28.15262034035611,105.0,94.0,101.0
DQN,91,0.14392924308776855,300,300,0,300,-469.54504,321.02666666666664,49.062234418979045,105.0,94.0,101.0
DQN,92,0.12703514099121094,300,300,0,300,-395.20694,335.29777777777787,26.186754413691038,105.0,94.0,101.0
DQN,93,0.17589235305786133,300,300,0,300,-402.62885,310.29666666666674,33.79961780170769,105.0,94.0,101.0
DQN,94,0.14055585861206055,300,300,0,300,-432.60587,337.84666666666686,35.47457028878323,105.0,94.0,101.0
DQN,95,0.1303391456604004,300,300,0,300,-458.54257,328.117777777778,43.920772502044436,105.0,94.0,101.0
DQN,96,0.15015387535095215,300,300,0,300,-445.293,344.1011111111111,40.841566100579776,105.0,94.0,101.0
DQN,97,0.14386677742004395,300,300,0,300,-390.48828,318.61999999999983,27.732670170900402,105.0,94.0,101.0
DQN,98,0.13070130348205566,300,300,0,300,-460.7875,326.08666666666676,48.8213328228821,105.0,94.0,101.0
DQN,99,0.12438058853149414,300,300,0,300,-408.84738,323.4377777777778,31.724475721266955,105.0,94.0,101.0
DQN,100,0.12685275077819824,300,300,0,300,-356.05615,315.47333333333347,20.530567627250022,105.0,94.0,101.0
Round Robin,1,0.09023857116699219,300,300,0,300,-317.01804,311.7888888888889,11.493527428851927,100.0,100.0,100.0
Round Robin,2,0.07972216606140137,300,300,0,300,-364.99738,346.42555555555555,17.96927676819839,100.0,100.0,100.0
Round Robin,3,0.07906603813171387,300,300,0,300,-330.49188,325.4833333333334,11.684585407830493,100.0,100.0,100.0
Round Robin,4,0.06394767761230469,300,300,0,300,-340.8299,323.19666666666683,15.43232542011567,100.0,100.0,100.0
Round Robin,5,0.07924938201904297,300,300,0,300,-306.46164,315.90333333333325,7.541141020964426,100.0,100.0,100.0
Round Robin,6,0.07955503463745117,300,300,0,300,-317.02863,325.981111111111,8.1810524906415,100.0,100.0,100.0
Round Robin,7,0.06352567672729492,300,300,0,300,-351.95312,318.8288888888887,18.58742068283878,100.0,100.0,100.0
Round Robin,8,0.06372284889221191,300,300,0,300,-340.36075,324.4233333333333,15.061181672106262,100.0,100.0,100.0
Round Robin,9,0.08040356636047363,300,300,0,300,-324.26666,326.09888888888867,9.51000815205483,100.0,100.0,100.0
Round Robin,10,0.07953906059265137,300,300,0,300,-334.17773,322.66666666666674,12.923984245278495,100.0,100.0,100.0
Round Robin,11,0.06347060203552246,300,300,0,300,-331.33148,327.7222222222223,12.328874295849774,100.0,100.0,100.0
Round Robin,12,0.06345272064208984,300,300,0,300,-331.01797,319.13333333333316,12.762934348829042,100.0,100.0,100.0
Round Robin,13,0.07989978790283203,300,300,0,300,-345.3906,321.4355555555557,16.77724667434614,100.0,100.0,100.0
Round Robin,14,0.06301379203796387,300,300,0,300,-341.24008,331.89000000000004,14.04130683563864,100.0,100.0,100.0
Round Robin,15,0.07965278625488281,300,300,0,300,-320.57144,325.69555555555553,8.925419969463736,100.0,100.0,100.0
Round Robin,16,0.0795125961303711,300,300,0,300,-320.15927,315.3288888888889,11.177035946392454,100.0,100.0,100.0
Round Robin,17,0.09835553169250488,300,300,0,300,-303.94147,315.938888888889,6.7677073986906,100.0,100.0,100.0
Round Robin,18,0.07508587837219238,300,300,0,300,-353.79352,334.6677777777777,15.604383284942399,100.0,100.0,100.0
Round Robin,19,0.06330227851867676,300,300,0,300,-347.2172,324.2944444444444,17.023622073941045,100.0,100.0,100.0
Round Robin,20,0.07917547225952148,300,300,0,300,-329.62402,318.2088888888886,12.88405842793909,100.0,100.0,100.0
Round Robin,21,0.06308865547180176,300,300,0,300,-325.48566,332.78555555555556,8.957737472489171,100.0,100.0,100.0
Round Robin,22,0.0949394702911377,300,300,0,300,-357.76913,347.3444444444445,14.994206778067332,100.0,100.0,100.0
Round Robin,23,0.06406950950622559,300,300,0,300,-340.87244,329.49666666666667,13.655928431221422,100.0,100.0,100.0
Round Robin,24,0.08177542686462402,300,300,0,300,-327.46317,327.05888888888893,10.311372294388347,100.0,100.0,100.0
Round Robin,25,0.07757019996643066,300,300,0,300,-319.9705,327.7711111111112,8.101037036815894,100.0,100.0,100.0
Round Robin,26,0.06642913818359375,300,300,0,300,-355.19247,335.89111111111146,16.461502369178927,100.0,100.0,100.0
Round Robin,27,0.07738924026489258,300,300,0,300,-320.25165,327.35888888888854,8.796660321514148,100.0,100.0,100.0
Round Robin,28,0.06402134895324707,300,300,0,300,-337.6856,321.85222222222217,16.09381124111169,100.0,100.0,100.0
Round Robin,29,0.07960391044616699,300,300,0,300,-344.38776,323.3877777777776,16.957857392334763,100.0,100.0,100.0
Round Robin,30,0.0795736312866211,300,300,0,300,-346.56213,326.7955555555556,16.300826827630992,100.0,100.0,100.0
Round Robin,31,0.07876706123352051,300,300,0,300,-330.3429,329.4755555555555,11.430662994409946,100.0,100.0,100.0
Round Robin,32,0.0795905590057373,300,300,0,300,-359.17297,328.0800000000001,18.089577241736997,100.0,100.0,100.0
Round Robin,33,0.06362175941467285,300,300,0,300,-301.84305,310.10000000000014,7.6269112377932515,100.0,100.0,100.0
Round Robin,34,0.07885169982910156,300,300,0,300,-344.71146,322.7844444444446,16.0115493987562,100.0,100.0,100.0
